model_family,latent_dim,target,arm,mae,r2
unconditional_vae,3,initiation_time_s_mean,development_constant,0.03038119246223941,-0.11572525170944692
unconditional_vae,3,initiation_time_s_mean,direct_context,0.009274765744360845,0.9115361719368679
unconditional_vae,3,initiation_time_s_mean,latent_probe,0.014042487832697086,0.7336442243186347
unconditional_vae,3,initiation_time_s_sd,development_constant,0.01402803906771552,-0.046102410308510366
unconditional_vae,3,initiation_time_s_sd,direct_context,0.010928194745774574,0.4049732329750291
unconditional_vae,3,initiation_time_s_sd,latent_probe,0.013716203466498456,-0.01494093673433916
unconditional_vae,3,max_lateral_deviation_mean,development_constant,0.2138667539729581,-0.1138153861432658
unconditional_vae,3,max_lateral_deviation_mean,direct_context,0.03830300779219764,0.9628798991285201
unconditional_vae,3,max_lateral_deviation_mean,latent_probe,0.1909764528774884,0.059613804146679016
unconditional_vae,3,max_lateral_deviation_sd,development_constant,0.10394045872296069,-0.2153357528484987
unconditional_vae,3,max_lateral_deviation_sd,direct_context,0.06695761603826796,0.27222326617259407
unconditional_vae,3,max_lateral_deviation_sd,latent_probe,0.11017763796731188,-0.3512201617261365
unconditional_vae,3,movement_time_s_mean,development_constant,0.048762006937175216,-0.09447728304811642
unconditional_vae,3,movement_time_s_mean,direct_context,0.011049426775781449,0.924468009833891
unconditional_vae,3,movement_time_s_mean,latent_probe,0.034451906523709344,0.1583029581975877
unconditional_vae,3,movement_time_s_sd,development_constant,0.03244078483683542,-0.10032126529847196
unconditional_vae,3,movement_time_s_sd,direct_context,0.027879019640692417,0.016574899146142075
unconditional_vae,3,movement_time_s_sd,latent_probe,0.02867333959511598,0.014792627835961617
unconditional_vae,3,n_submovements_mean,development_constant,0.06645986803327505,-0.23439231723011722
unconditional_vae,3,n_submovements_mean,direct_context,0.021629173314821646,0.8830840832761294
unconditional_vae,3,n_submovements_mean,latent_probe,0.06568043205695352,-0.22876591407264946
unconditional_vae,3,n_submovements_sd,development_constant,0.13441114364911505,-0.2821818991505536
unconditional_vae,3,n_submovements_sd,direct_context,0.07928217167560737,0.49718905993137713
