feature_view,latent_dim,metric,model_a,model_b,n,mean_a,mean_b,a_better_n,p,q_bh_72,p_holm_72
reduced,8,mean_ks,conditional_ae,cvae,28,0.2574555484847489,0.21941321852624585,6,0.0004249662160873413,0.000805199146270752,0.014873817563056946
reduced,8,mean_ks,conditional_ae,unconditional_vae,28,0.2574555484847489,0.21560003580134665,6,0.00014970102963058062,0.00033324415033513845,0.006137742214853806
reduced,8,mean_ks,cvae,unconditional_vae,28,0.21941321852624585,0.21560003580134665,13,0.12425150901852151,0.14910181082222582,1.0
reduced,8,energy_distance,spline_pca,conditional_ae,28,0.6186677500141926,0.5376610992645257,10,0.1199713721871376,0.14640574233006623,1.0
reduced,8,energy_distance,spline_pca,cvae,28,0.6186677500141926,0.39131109249977464,4,1.2949109077453613e-05,5.484328550450942e-05,0.0007251501083374023
reduced,8,energy_distance,spline_pca,unconditional_vae,28,0.6186677500141926,0.37615717318082276,2,3.993511199951172e-06,2.875328063964844e-05,0.000255584716796875
reduced,8,energy_distance,conditional_ae,cvae,28,0.5376610992645257,0.39131109249977464,6,0.0007162094116210938,0.0012891769409179687,0.023634910583496094
reduced,8,energy_distance,conditional_ae,unconditional_vae,28,0.5376610992645257,0.37615717318082276,5,0.00015273690223693848,0.00033324415033513845,0.006137742214853806
reduced,8,energy_distance,cvae,unconditional_vae,28,0.39131109249977464,0.37615717318082276,14,0.2450956031680107,0.2892931709524061,1.0
reduced,8,mmd_rbf,spline_pca,conditional_ae,28,0.12035447687937269,0.11428472918409609,12,0.6947018131613731,0.7578565234487706,1.0
reduced,8,mmd_rbf,spline_pca,cvae,28,0.12035447687937269,0.06871292172179423,2,3.330409526824951e-06,2.875328063964844e-05,0.00021647661924362183
reduced,8,mmd_rbf,spline_pca,unconditional_vae,28,0.12035447687937269,0.06624418004619931,1,1.8849968910217285e-06,2.2619962692260742e-05,0.0001262947916984558
reduced,8,mmd_rbf,conditional_ae,cvae,28,0.11428472918409609,0.06871292172179423,5,0.00011970102787017822,0.00027801529053718817,0.005147144198417664
reduced,8,mmd_rbf,conditional_ae,unconditional_vae,28,0.11428472918409609,0.06624418004619931,5,2.380460500717163e-05,8.161578859601702e-05,0.0012378394603729248
reduced,8,mmd_rbf,cvae,unconditional_vae,28,0.06871292172179423,0.06624418004619931,14,0.3740789592266083,0.42751881054469515,1.0
