model_family,latent_dim,seed,fold,subject,feature_view,n_features,mean_ks,energy_distance,mmd_rbf,reproduction_error
cvae,3,42,0,subject19,original,11,0.20858585858585857,0.26536386330910533,0.04787268121102917,8.326672684688674e-17
cvae,3,42,0,subject19,reduced,9,0.22901234567901232,0.27178895274832504,0.060277081577561065,0.0
cvae,3,42,0,subject24,original,11,0.18914141414141417,0.21419828610643554,0.030141853103938354,9.020562075079397e-17
cvae,3,42,0,subject24,reduced,9,0.18271604938271602,0.1664070113837175,0.02838920444320714,0.0
cvae,3,42,0,subject27,original,11,0.2623737373737374,0.7220221736808639,0.1472609433606753,7.806255641895632e-17
cvae,3,42,0,subject27,reduced,9,0.30246913580246915,0.7760856850237756,0.17837935800751503,0.0
cvae,3,42,0,subject34,original,11,0.26035353535353534,0.5362467587620001,0.102034822143663,5.551115123125783e-17
cvae,3,42,0,subject34,reduced,9,0.23734567901234568,0.3737924606319267,0.07889460231477419,0.0
cvae,3,42,0,subject35,original,11,0.23002114164904863,0.42568590803514317,0.07452092019185141,8.326672684688674e-17
cvae,3,42,0,subject35,reduced,9,0.24102067183462536,0.4015270355450382,0.07977147456922262,0.0
cvae,3,43,0,subject05,original,11,0.3032828282828283,0.7092162158759092,0.14118482059455284,8.326672684688674e-17
cvae,3,43,0,subject05,reduced,9,0.30246913580246915,0.722451821777387,0.17414216136169147,0.0
cvae,3,43,0,subject13,original,11,0.1765151515151515,0.20184861856239555,0.030498460422448526,8.326672684688674e-17
cvae,3,43,0,subject13,reduced,9,0.16944444444444443,0.15012082507659796,0.030134709075127386,0.0
