model_family,latent_dim,fold,subject,feature_view,mean_ks,energy_distance,mmd_rbf
cvae,3,2,subject15,reduced,0.1975135247607158,0.24242700739353942,0.05058040850689919
cvae,3,2,subject21,original,0.38308080808080813,1.0905246277740164,0.21327713185189215
cvae,3,2,subject21,reduced,0.3332304526748971,0.6359610934260577,0.13710470757802737
cvae,3,2,subject36,original,0.2596801346801347,0.5417809553115087,0.1039235007879173
cvae,3,2,subject36,reduced,0.2736625514403292,0.5628306172196779,0.12513893311564558
cvae,3,3,subject02,original,0.32196969696969696,0.9319650868341971,0.17582856751235476
cvae,3,3,subject02,reduced,0.3182098765432099,0.7076779441602197,0.16298482061569727
cvae,3,3,subject11,original,0.2505892255892256,0.9132804898861854,0.16683995188727693
cvae,3,3,subject11,reduced,0.262037037037037,0.9428399316823866,0.1900716609885165
cvae,3,3,subject22,original,0.1994949494949495,0.29626983085112596,0.051987377888309316
cvae,3,3,subject22,reduced,0.19660493827160494,0.29409174993348836,0.06052214641041753
cvae,3,3,subject30,original,0.2924242424242424,0.6883274460687528,0.13429227115391265
cvae,3,3,subject30,reduced,0.29393004115226334,0.6371614924374746,0.1449824206337388
cvae,3,3,subject33,original,0.29028925619834706,0.5793372714629076,0.1081450238714442
cvae,3,3,subject33,reduced,0.27031425364758693,0.4582861503365658,0.0935407548389718
cvae,3,3,subject37,original,0.39974747474747474,1.605449159430325,0.29388307625335425
cvae,3,3,subject37,reduced,0.3791152263374486,1.4436076053901257,0.2960758751354357
cvae,3,3,subject40,original,0.2597643097643097,0.48311190839443885,0.09142130679451954
cvae,3,3,subject40,reduced,0.25349794238683127,0.43791439994714504,0.08828441544867183
cvae,8,0,subject05,original,0.24250841750841748,0.2932637795150084,0.054575039905006305
cvae,8,0,subject05,reduced,0.2374485596707819,0.2639377994104919,0.058010378321559676
cvae,8,0,subject13,original,0.1937710437710438,0.190503388080043,0.028508301174809958
cvae,8,0,subject13,reduced,0.18353909465020576,0.14008229569816036,0.026116171667171617
cvae,8,0,subject19,original,0.17592592592592593,0.1554210439422413,0.023249000761855616
cvae,8,0,subject19,reduced,0.17613168724279835,0.13515785663963906,0.02442357885985909
cvae,8,0,subject24,original,0.16321548821548823,0.14314209568468472,0.01499499563302605
cvae,8,0,subject24,reduced,0.15761316872427986,0.10607458320001628,0.01180351295142353
cvae,8,0,subject27,original,0.24183501683501682,0.4889674085354569,0.09509351703917986
cvae,8,0,subject27,reduced,0.263477366255144,0.5300700239699948,0.11752684371625377
cvae,8,0,subject34,original,0.23030303030303031,0.40888911229379854,0.07246515529523834
cvae,8,0,subject34,reduced,0.21718106995884776,0.32836270280447694,0.0663172183880184
cvae,8,0,subject35,original,0.2317477096546864,0.4865592548067008,0.08452891728902819
cvae,8,0,subject35,reduced,0.23978610393339075,0.4885558651832258,0.09399946545062617
cvae,8,1,subject08,original,0.35606060606060613,1.5849600841846339,0.28052236631672284
cvae,8,1,subject08,reduced,0.3795267489711935,1.6500827993262306,0.3087652826408987
cvae,8,1,subject18,original,0.26717171717171717,0.6274198969975157,0.10720304818521591
cvae,8,1,subject18,reduced,0.2799382716049382,0.6428583689393976,0.12380173003199195
cvae,8,1,subject23,original,0.1707070707070707,0.15971624760482403,0.022524269867554292
cvae,8,1,subject23,reduced,0.1898148148148148,0.1638454600989371,0.02882033699799839
cvae,8,1,subject25,original,0.25353535353535356,0.4500991953298474,0.06545700040289086
cvae,8,1,subject25,reduced,0.27109053497942387,0.47789785915115274,0.0763368544151718
cvae,8,1,subject26,original,0.27525252525252525,0.8836690946417375,0.12387623852405545
cvae,8,1,subject26,reduced,0.26491769547325106,0.7806795461752168,0.12055800829448333
cvae,8,1,subject41,original,0.31559829059829064,1.1062130394749434,0.061392706882724246
cvae,8,1,subject41,reduced,0.3363485280151947,1.150783034611136,0.08096118733093986
cvae,8,1,subject43,original,0.16060606060606059,0.1515987778567395,0.017967082895796776
cvae,8,1,subject43,reduced,0.15617283950617286,0.135870735540036,0.02085158739413373
cvae,8,2,subject01,original,0.14932659932659934,0.1495318118389163,0.02282654165323698
cvae,8,2,subject01,reduced,0.1463991769547325,0.13470874708804872,0.023045404747772058
cvae,8,2,subject04,original,0.16161616161616163,0.14496797112950865,0.022774232652789033
