fold,feature_a,feature_b,pooled_rho,median_within_rho
2,curvature_index,end_y,0.1831920270260104,0.06190931818883299
2,max_lateral_deviation,n_submovements,0.0978746782760908,0.062398600664636775
2,max_lateral_deviation,end_x,0.12453865290202827,0.08581129047192815
2,max_lateral_deviation,end_y,0.21315855054722888,0.1562766593581822
2,n_submovements,end_x,0.005542106610733605,-0.00917175593216527
2,n_submovements,end_y,0.02006123205130718,-0.002092282205411839
2,end_x,end_y,0.11433019117188592,0.009852216748768473
3,initiation_time_s,movement_time_s,-0.4517586426345272,-0.3729382187024041
3,initiation_time_s,peak_speed_tracker_units_s,0.29430017601874553,0.16341140960490597
3,initiation_time_s,time_to_peak_speed,-0.1144662170223969,-0.1940946685442515
3,initiation_time_s,path_length,-0.1594147019676679,-0.08076539023804032
3,initiation_time_s,straight_line_dist,-0.13812921851500948,-0.07201584340980878
3,initiation_time_s,curvature_index,-0.14233883842774805,-0.04984532594966955
3,initiation_time_s,max_lateral_deviation,-0.07456401734998215,0.009950022107742776
3,initiation_time_s,n_submovements,-0.09537063705123179,-0.018850928028562485
3,initiation_time_s,end_x,-0.005613114679830003,0.03672687538332857
3,initiation_time_s,end_y,-0.1532999929692324,-0.08643822340537252
3,movement_time_s,peak_speed_tracker_units_s,-0.7808252696415978,-0.6630153546260479
3,movement_time_s,time_to_peak_speed,0.012864368909410465,0.10887518319376058
3,movement_time_s,path_length,0.40720503265987124,0.4306640823044637
3,movement_time_s,straight_line_dist,0.34354557247761075,0.3717229255535786
3,movement_time_s,curvature_index,0.2643533823803696,0.19710501558071736
3,movement_time_s,max_lateral_deviation,0.1551373238254763,0.15606557975901497
3,movement_time_s,n_submovements,0.22035259865960644,0.12887704188312094
3,movement_time_s,end_x,-0.007951693899640606,-0.0768354672003221
3,movement_time_s,end_y,0.3726441193350091,0.37514978845247937
3,peak_speed_tracker_units_s,time_to_peak_speed,0.16679909373806667,0.12529686689660938
3,peak_speed_tracker_units_s,path_length,-0.1278528968438275,-0.05989282169185119
3,peak_speed_tracker_units_s,straight_line_dist,-0.11608960916393064,-0.014768136742243297
3,peak_speed_tracker_units_s,curvature_index,-0.027345980389005074,0.13018323724451528
3,peak_speed_tracker_units_s,max_lateral_deviation,-0.0023807059259937386,0.08626809469428069
3,peak_speed_tracker_units_s,n_submovements,-0.17060996919131102,-0.070385187739446
