outer_fold,seed,subject,ks_mj_fit_error,ks_mj_first_duration_s,ks_mj_first_amplitude,ks_mj_secondary_amplitude_fraction,ks_mj_mean_overlap_pct,count_total_variation,count_jsd,count_total_variation_bic,count_jsd_bic
3,43,subject11,0.6888888888888889,0.4888888888888889,0.17777777777777778,0.17777777777777778,0.12222222222222222,0.0888888888888889,0.014968361521811926,0.06666666666666667,0.014989973706788388
3,43,subject22,0.3111111111111111,0.2,0.24444444444444444,0.25555555555555554,0.37777777777777777,0.06666666666666664,0.013370406089197196,0.2333333333333333,0.127814312761955
3,43,subject30,0.3111111111111111,0.24444444444444444,0.3333333333333333,0.2,0.34444444444444444,0.2222222222222222,0.05759649848602942,0.0111111111111111,0.0001421532448100919
3,43,subject33,0.375,0.5272727272727272,0.6022727272727273,0.5113636363636364,0.5,0.5113636363636364,0.32034632778901345,0.09545454545454546,0.008860281160653937
3,43,subject37,0.4111111111111111,0.2222222222222222,0.35555555555555557,0.34444444444444444,0.4444444444444444,0.34444444444444444,0.11298086436905642,0.03333333333333333,0.002639385998282316
3,43,subject40,0.3333333333333333,0.37777777777777777,0.26666666666666666,0.07777777777777778,0.07777777777777778,0.033333333333333326,0.011548981228465533,0.19999999999999998,0.03030514483932229
3,44,subject02,0.26666666666666666,0.3333333333333333,0.4,0.1,0.1,0.1,0.08365830421864338,0.19999999999999996,0.10803154614560004
3,44,subject11,0.4888888888888889,0.6222222222222222,0.17777777777777778,0.1111111111111111,0.13333333333333333,0.12222222222222222,0.029985040278939376,0.2,0.04495121324404804
3,44,subject22,0.28888888888888886,0.2111111111111111,0.37777777777777777,0.35555555555555557,0.4111111111111111,0.3555555555555555,0.10497117117671406,0.1333333333333333,0.02363615111136309
3,44,subject30,0.23333333333333334,0.32222222222222224,0.16666666666666666,0.15555555555555556,0.15555555555555556,0.0888888888888889,0.014968361521811926,0.11111111111111113,0.012137340046212097
3,44,subject33,0.18863636363636363,0.275,0.6363636363636364,0.5113636363636364,0.5,0.5113636363636364,0.32034632778901345,0.004545454545454575,1.782042084403388e-05
3,44,subject37,0.28888888888888886,0.2111111111111111,0.2777777777777778,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.07085357489216955,0.03333333333333333,0.002639385998282316
3,44,subject40,0.36666666666666664,0.2111111111111111,0.18888888888888888,0.16666666666666666,0.08888888888888889,0.08888888888888889,0.02136201532190034,0.09999999999999998,0.007299156760473896
