dim,model_a,model_b,metric,fold,mean_b_minus_a
3,unconditional_vae,condition_ridge,ks_n_submovements,1,0.0006613756613756376
3,unconditional_vae,condition_ridge,ks_n_submovements,2,0.00939153439153437
3,unconditional_vae,condition_ridge,ks_n_submovements,3,-0.0019119769119769119
3,unconditional_vae,condition_ridge,energy_distance,0,0.26338444368047703
3,unconditional_vae,condition_ridge,energy_distance,1,0.027112725271844683
3,unconditional_vae,condition_ridge,energy_distance,2,0.04582027207619229
3,unconditional_vae,condition_ridge,energy_distance,3,-0.051695928953837775
3,unconditional_vae,condition_ridge,mmd_rbf,0,0.04820658526529293
3,unconditional_vae,condition_ridge,mmd_rbf,1,-0.04086676493257443
3,unconditional_vae,condition_ridge,mmd_rbf,2,0.0006743129380312482
3,unconditional_vae,condition_ridge,mmd_rbf,3,-0.025791274766047863
3,spline_pca,condition_ridge,trajectory_mse,0,0.9050919391687878
3,spline_pca,condition_ridge,trajectory_mse,1,1.3611408346670666
3,spline_pca,condition_ridge,trajectory_mse,2,1.0887589526407195
3,spline_pca,condition_ridge,trajectory_mse,3,1.1911681628423836
3,spline_pca,condition_ridge,movement_time_mae_ms,0,20.014560134866517
3,spline_pca,condition_ridge,movement_time_mae_ms,1,26.420241788672808
3,spline_pca,condition_ridge,movement_time_mae_ms,2,22.848058883833367
3,spline_pca,condition_ridge,movement_time_mae_ms,3,16.974243353631923
3,spline_pca,condition_ridge,initiation_time_mae_ms,0,51.41349403239241
3,spline_pca,condition_ridge,initiation_time_mae_ms,1,32.768599865026985
3,spline_pca,condition_ridge,initiation_time_mae_ms,2,48.6064918259811
3,spline_pca,condition_ridge,initiation_time_mae_ms,3,36.55010372198095
3,spline_pca,condition_ridge,mean_ks,0,-5.11762139669057e-05
3,spline_pca,condition_ridge,mean_ks,1,-0.07633292633292632
3,spline_pca,condition_ridge,mean_ks,2,-0.06522339499867592
3,spline_pca,condition_ridge,mean_ks,3,-0.049837115746206646
3,spline_pca,condition_ridge,ks_n_submovements,0,0.016534391534391523
3,spline_pca,condition_ridge,ks_n_submovements,1,0.013756613756613748
3,spline_pca,condition_ridge,ks_n_submovements,2,-0.002910052910052932
3,spline_pca,condition_ridge,ks_n_submovements,3,0.002453102453102461
3,spline_pca,condition_ridge,energy_distance,0,0.02838816510730647
3,spline_pca,condition_ridge,energy_distance,1,-0.3588685439796852
3,spline_pca,condition_ridge,energy_distance,2,-0.16185306324589327
3,spline_pca,condition_ridge,energy_distance,3,-0.14251051112176766
3,spline_pca,condition_ridge,mmd_rbf,0,-0.017495867478958944
3,spline_pca,condition_ridge,mmd_rbf,1,-0.10366335422410697
3,spline_pca,condition_ridge,mmd_rbf,2,-0.05585069073455536
3,spline_pca,condition_ridge,mmd_rbf,3,-0.04544211719321363
8,cvae,conditional_ae,trajectory_mse,0,-0.0038850619509843364
8,cvae,conditional_ae,trajectory_mse,1,-0.009330974543140984
