run,family,dim,fold,seed,epoch,epochs_run,checkpoint_sha256,max_timing_error,max_mse_error,encoder_swap_change,decoder_swap_change,encoder_condition0_gradient,decoder_condition0_gradient,encoder_condition1_gradient,decoder_condition1_gradient,encoder_condition2_gradient,decoder_condition2_gradient,encoder_condition3_gradient,decoder_condition3_gradient,encoder_condition4_gradient,decoder_condition4_gradient
conditional_ae\fold3\conditional_ae_z8_seed44,conditional_ae,8,3,44,40,65,757ec05b0cf2306b0778fb4bdc5af91c1f7333aef18091cd5c75b430e00c2fb1,4.694976807328999e-08,4.135589604103984e-08,0.29002970457077026,0.2553967237472534,23.65880584716797,41.27407455444336,9.674400329589844,77.49091339111328,18.91887664794922,24.498403549194336,9.06058406829834,24.68057632446289,29.578659057617188,43.94245147705078
cvae\fold0\cvae_z2_seed42,cvae,2,0,42,56,81,1cc4065e2b506fde72187147e2c7956b777d37f71e323accb19e3aa99e67c065,2.4472808890507736e-08,1.051330564827424e-07,0.050763070583343506,0.31856095790863037,0.38890722393989563,30.907711029052734,0.22450509667396545,36.26275634765625,0.2781907916069031,42.53357696533203,0.46599483489990234,33.5251579284668,0.47644880414009094,30.070114135742188
cvae\fold0\cvae_z2_seed43,cvae,2,0,43,30,55,d7a85c43733f945d79754a68f8bcaf0e559410de4d9819f944595677054e2d44,2.1409606976163786e-08,4.896240235474636e-08,0.11920285224914551,0.18167710304260254,0.303842693567276,13.286215782165527,0.35958346724510193,7.6203460693359375,0.2529517114162445,6.653594017028809,0.33842381834983826,18.967082977294922,0.36672741174697876,33.360931396484375
cvae\fold0\cvae_z2_seed44,cvae,2,0,44,43,68,8d711379e3a0ec73563cd141b6d51f3dfc0b212a75f1ae119a9386d68e32d6fa,3.055572506127646e-08,3.247070310408162e-07,0.1352705955505371,0.3700806796550751,0.1459745317697525,13.749675750732422,0.28084874153137207,22.6718692779541,0.5732357501983643,40.89769744873047,0.49470165371894836,31.511051177978516,0.3754573464393616,27.05469512939453
cvae\fold0\cvae_z3_seed42,cvae,3,0,42,91,116,93a3dc719cc3abb95dbe18282f433fd2df21307536c0ff00ce7e882c62694f6e,2.6385498008707486e-08,4.902343753165894e-08,0.2308097928762436,0.5056259632110596,0.47171810269355774,22.05877685546875,0.30963149666786194,32.476287841796875,0.6875831484794617,38.2255859375,1.1828793287277222,27.730594635009766,0.38693150877952576,23.264739990234375
cvae\fold0\cvae_z3_seed43,cvae,3,0,43,74,99,c913a379049a28fb8e4d2f5a0c83217f0b7d1ab65a3d279c858b8441abd3c9ce,3.504791257213924e-08,4.1110229442864465e-08,0.246207594871521,0.5204160213470459,0.27267658710479736,10.76323127746582,0.48802778124809265,11.689569473266602,0.5765382051467896,20.517101287841797,0.44663625955581665,14.034358978271484,0.3887065649032593,15.612030029296875
cvae\fold0\cvae_z3_seed44,cvae,3,0,44,73,98,8f537d81f59a92dadff57fc7159c00c29a64f01c7f8db13724f570ac9d9c0649,4.918518059504606e-08,3.40087891181895e-08,0.16598570346832275,0.6759242415428162,0.2744845151901245,17.000282287597656,0.3006356358528137,11.379690170288086,0.39697983860969543,30.08283233642578,0.418952077627182,27.222734451293945,0.5152084827423096,16.909324645996094
cvae\fold0\cvae_z4_seed42,cvae,4,0,42,91,116,a4847c4e0568aedad69b49a3fa98235d7cd14146fa64607a9b01cae96ec2831f,2.7807617208885915e-08,3.345031740487059e-08,0.14900118112564087,0.6271709203720093,0.35714346170425415,35.26088333129883,0.3083794414997101,20.783451080322266,0.7702282667160034,16.56010627746582,0.30654653906822205,20.860036849975586,0.46537238359451294,33.87338638305664
cvae\fold0\cvae_z4_seed43,cvae,4,0,43,103,128,923992c402986eaf0260b121db144ca7e0605a83d1b93a71f4c54c775e55990d,2.872695925582036e-08,2.6969909638907552e-08,0.17615148425102234,0.5441911816596985,0.36206257343292236,22.452112197875977,0.31376874446868896,13.016671180725098,0.5732370018959045,19.693761825561523,0.43852609395980835,20.360370635986328,0.5057629942893982,15.12798023223877
cvae\fold0\cvae_z4_seed44,cvae,4,0,44,60,85,0c5ca3418081001489d2b141b67db7880eaea1a3ac68c39770bf14a08dc19729,3.436431894598968e-08,2.960052492007037e-08,0.19430875778198242,0.6485812067985535,0.47581589221954346,16.728914260864258,0.2869548797607422,9.926172256469727,0.7655280828475952,13.085190773010254,0.3597278296947479,16.831340789794922,0.40729397535324097,19.01896858215332
cvae\fold0\cvae_z8_seed42,cvae,8,0,42,148,150,cb70e2cbe734134a55ed8c297eda8a367a5387f68724d21efb07e9c54b6950a4,2.7410125724713907e-08,1.1917114295378894e-08,0.23549509048461914,0.3015996515750885,1.8078519105911255,12.787311553955078,1.3565484285354614,12.14317512512207,1.7641286849975586,17.351259231567383,0.39320677518844604,4.840483665466309,2.029665231704712,12.424386024475098
cvae\fold0\cvae_z8_seed43,cvae,8,0,43,150,150,4c396646e31b5007060cbc259e08e0e9d265f2feae0c839be65b674887047400,4.1674804718283553e-08,1.0215759349563314e-08,0.24960359930992126,0.2702333629131317,2.6773171424865723,8.176107406616211,1.65494704246521,11.613585472106934,2.326495409011841,7.129344463348389,0.42884525656700134,4.5157389640808105,2.4070677757263184,19.89776039123535
cvae\fold0\cvae_z8_seed44,cvae,8,0,44,96,121,295db7a03dce08cb0264c88c65b87ba556359e1455cdc0a9d0263f7ae8ee5b7c,3.243255619622687e-08,6.892394988078365e-09,0.220554381608963,0.24878226220607758,1.9312794208526611,15.941665649414062,1.617268443107605,11.899821281433105,2.1729981899261475,10.451780319213867,0.5824927687644958,12.234689712524414,2.3750691413879395,25.727041244506836
cvae\fold1\cvae_z2_seed42,cvae,2,1,42,46,71,05eede1710905ecf7915a0bb999abfee2849306cb4874b4182619c636fc54109,3.341827392588925e-08,4.5391845659992214e-07,0.08867359161376953,1.1258580684661865,1.2212074995040894,231.1007537841797,1.2289988994598389,224.63551330566406,0.49525925517082214,334.2594909667969,1.3647630214691162,94.9000473022461,1.0021497011184692,83.07960510253906
cvae\fold1\cvae_z2_seed43,cvae,2,1,43,34,59,bf0a7e4c51b67df915d534d1a07a23ba685561e008e4c0f0586d2b743cd29f4d,2.881317140435158e-08,4.89013672222427e-07,0.0700521469116211,0.717785120010376,0.676881730556488,127.35311889648438,0.6402682065963745,85.054931640625,0.7616084218025208,60.01025390625,0.4241330325603485,61.99335479736328,0.7711132764816284,105.56733703613281
cvae\fold1\cvae_z2_seed44,cvae,2,1,44,50,75,ceb639618cad0272599f9332079e10afed9f17702fddeb0cdbfe8dc7896d921f,2.6602935743191836e-08,3.4906005907942017e-07,0.2905302345752716,0.6705985069274902,0.3271752595901489,54.83100128173828,0.39310601353645325,83.43175506591797,0.7440833449363708,92.05322265625,0.887096643447876,45.55644989013672,0.5591766238212585,77.18871307373047
cvae\fold1\cvae_z3_seed42,cvae,3,1,42,38,63,068431ff2f067f09809f47210539435410831f90e4ab44799db092878e91fdb0,2.9731750506023502e-08,2.127075191538097e-07,0.36189210414886475,0.4613344073295593,4.44498348236084,42.56987380981445,3.2778286933898926,84.47296905517578,3.0027828216552734,64.75165557861328,1.8243128061294556,126.96598815917969,1.8543211221694946,111.26687622070312
cvae\fold1\cvae_z3_seed43,cvae,3,1,43,91,116,d4f0f61d63193fd7a13d3b20aa4937f6fc5ce3ab3ab0abc40e985cf6cb9d84e5,3.439636220292641e-08,2.120971682728623e-07,0.9158520698547363,0.9546486139297485,0.9509232640266418,233.22877502441406,0.43300169706344604,321.85113525390625,0.7794972062110901,164.1455841064453,1.3026080131530762,143.51803588867188,0.5870985388755798,226.0530548095703
