dim,model_a,model_b,metric,n,mean_a,mean_b,mean_b_minus_a,median_b_minus_a,a_better_n,b_better_n,p,q_bh_140,p_holm_140
3,spline_pca,condition_ridge,initiation_time_mae_ms,28,56.155012384961005,98.48968474630635,42.33467236134537,38.320835053278095,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,spline_pca,condition_ridge,mean_ks,28,0.3251255882887887,0.27726443496584474,-0.04786115332294395,-0.06485690235690231,5,23,0.0010645166039466858,0.001960951638849158,0.06919357925653458
3,spline_pca,condition_ridge,ks_n_submovements,28,0.05348229474993255,0.06094080845844624,0.0074585137085137,0.0069444444444444475,19,9,0.041413644506479025,0.061679896073479394,1.0
3,spline_pca,condition_ridge,energy_distance,28,0.9774327846489691,0.8187217963389594,-0.1587109883100099,-0.09508340465929938,9,19,0.024749115109443665,0.038931192306990034,1.0
3,spline_pca,condition_ridge,mmd_rbf,28,0.18146673357380647,0.12585372616609777,-0.055613007407708734,-0.05002461571367625,6,22,0.0003418475389480591,0.0006936037022134533,0.025296717882156372
8,cvae,conditional_ae,trajectory_mse,28,0.032481218415279414,0.025967813006904344,-0.006513405408375075,-0.005279543854231497,1,27,3.725290298461914e-08,2.086162567138672e-07,4.32133674621582e-06
8,cvae,conditional_ae,movement_time_mae_ms,28,44.16257585361092,42.666967655561436,-1.495608198049485,1.0573716666666648,17,11,0.3052256628870964,0.36837580003615084,1.0
8,cvae,conditional_ae,initiation_time_mae_ms,28,34.83709506602474,39.87227959146922,5.035184525444485,2.2119233035783274,24,4,0.0003418475389480591,0.0006936037022134533,0.025296717882156372
8,cvae,conditional_ae,mean_ks,28,0.21940400159869472,0.25868621572590966,0.039282214127214964,0.03754208754208754,22,6,0.0003059804439544678,0.000659034802363469,0.02325451374053955
8,cvae,conditional_ae,ks_n_submovements,28,0.05020848522612303,0.05944369446133224,0.009235209235209227,0.0027777777777778,14,11,0.1897807574785736,0.24601209302778057,1.0
8,cvae,conditional_ae,energy_distance,28,0.43045115897281766,0.6202242242032429,0.18977306523042525,0.1597313311543925,22,6,0.0004729032516479492,0.0009458065032958984,0.033576130867004395
8,cvae,conditional_ae,mmd_rbf,28,0.06749342391175364,0.11113481142118391,0.04364138750943029,0.0394783526602883,23,5,0.0001721307635307312,0.00038251280784606934,0.013598330318927765
8,cvae,unconditional_vae,trajectory_mse,28,0.032481218415279414,0.033486992496304886,0.001005774081025467,-0.00020168079793589713,13,15,0.9196710959076881,0.9398098790297544,1.0
8,cvae,unconditional_vae,movement_time_mae_ms,28,44.16257585361092,42.20518171259946,-1.9573941410114621,0.032883000000005325,14,14,0.38639477640390396,0.45079390580455464,1.0
8,cvae,unconditional_vae,initiation_time_mae_ms,28,34.83709506602474,35.98264219997669,1.145547133951953,0.27627222753225134,16,12,0.26417163759469986,0.3244213093268244,1.0
8,cvae,unconditional_vae,mean_ks,28,0.21940400159869472,0.21512115987954522,-0.00428284171914953,-0.0019781144781144816,13,15,0.0987313843820622,0.13685538429196742,1.0
8,cvae,unconditional_vae,ks_n_submovements,28,0.05020848522612303,0.0505812605988984,0.0003727753727753741,0.0004629629629629836,14,11,0.8284577962369739,0.8621649234383194,1.0
8,cvae,unconditional_vae,energy_distance,28,0.43045115897281766,0.41101443319731873,-0.019436725775498858,-0.021440049405271444,9,19,0.01563260704278946,0.025747823364594403,0.8754259943962097
8,cvae,unconditional_vae,mmd_rbf,28,0.06749342391175364,0.06388130250594579,-0.003612121405807867,-0.0036591110107834154,10,18,0.033681392669677734,0.0518175271841196,1.0
8,cvae,spline_pca,trajectory_mse,28,0.032481218415279414,0.022772415541801733,-0.009708802873477683,-0.010414473488385118,4,24,0.0003418475389480591,0.0006936037022134533,0.025296717882156372
8,cvae,spline_pca,movement_time_mae_ms,28,44.16257585361092,50.20757453148879,6.0449986778778655,4.227643857746736,23,5,0.0006467849016189575,0.0012753505102345642,0.045274943113327026
8,cvae,spline_pca,initiation_time_mae_ms,28,34.83709506602474,55.583569150327904,20.746474084303166,21.267079340313053,27,1,1.4901161193847656e-08,8.692344029744466e-08,1.773238182067871e-06
8,cvae,spline_pca,mean_ks,28,0.21940400159869472,0.2547944362920786,0.035390434693383835,0.033712121212121235,23,5,3.663450479507446e-05,9.497834576500786e-05,0.0031872019171714783
8,cvae,spline_pca,ks_n_submovements,28,0.05020848522612303,0.11997760499524278,0.0697691197691198,0.07222222222222224,24,4,0.00078224308898511,0.001498654082014754,0.05319253005098748
8,cvae,spline_pca,energy_distance,28,0.43045115897281766,0.7347145035712234,0.30426334459840587,0.27521686840594406,25,3,2.2873282432556152e-06,9.149312973022461e-06,0.00024245679378509521
8,cvae,spline_pca,mmd_rbf,28,0.06749342391175364,0.11529063380077316,0.04779720988901951,0.04536606552151111,25,3,3.993511199951172e-06,1.4335681230593951e-05,0.0004113316535949707
