check,passed,detail
conditional_ae\fold0\conditional_ae_z3_seed44/KL schedule,True,max_abs_error=0.0; atol=1e-12; rtol=0
conditional_ae\fold0\conditional_ae_z3_seed44/saved objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold0\conditional_ae_z3_seed44/independent encoder,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z3_seed44/prediction IDs,True,
conditional_ae\fold0\conditional_ae_z3_seed44/true timing,True,max_abs_error=2.6930236707300992e-08; atol=1e-07; rtol=1e-05
conditional_ae\fold0\conditional_ae_z3_seed44/independent timing predictions,True,max_abs_error=4.900665273588345e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold0\conditional_ae_z3_seed44/independent trajectory MSE,True,max_abs_error=9.410095236361826e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold0\conditional_ae_z3_seed44/independent decoder trajectory,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z3_seed44/independent decoder timing,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z3_seed44/timing withheld,True,max_abs_error=0.0; atol=0; rtol=0
conditional_ae\fold0\conditional_ae_z3_seed44/variational sampling behaviour,True,
conditional_ae\fold0\conditional_ae_z3_seed44/condition gradients,True,"{'encoder_condition0_gradient': 0.9731206893920898, 'decoder_condition0_gradient': 5.937532901763916, 'encoder_condition1_gradient': 0.8136720061302185, 'decoder_condition1_gradient': 21.22256088256836, 'encoder_condition2_gradient': 1.176559329032898, 'decoder_condition2_gradient': 29.418659210205078, 'encoder_condition3_gradient': 1.0123642683029175, 'decoder_condition3_gradient': 22.876834869384766, 'encoder_condition4_gradient': 1.0652525424957275, 'decoder_condition4_gradient': 46.001258850097656}"
conditional_ae\fold0\conditional_ae_z3_seed44/condition swap behaviour,True,
conditional_ae\fold0\conditional_ae_z8_seed42/effective flags,True,
conditional_ae\fold0\conditional_ae_z8_seed42/train_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed42/train_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed42/timing_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed42/timing_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z8_seed42/validation objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold0\conditional_ae_z8_seed42/selected epoch,True,
conditional_ae\fold0\conditional_ae_z8_seed42/KL schedule,True,max_abs_error=0.0; atol=1e-12; rtol=0
conditional_ae\fold0\conditional_ae_z8_seed42/saved objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold0\conditional_ae_z8_seed42/independent encoder,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed42/prediction IDs,True,
conditional_ae\fold0\conditional_ae_z8_seed42/true timing,True,max_abs_error=2.6930236707300992e-08; atol=1e-07; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed42/independent timing predictions,True,max_abs_error=3.170928963847075e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold0\conditional_ae_z8_seed42/independent trajectory MSE,True,max_abs_error=6.169891375584768e-09; atol=2e-06; rtol=2e-05
conditional_ae\fold0\conditional_ae_z8_seed42/independent decoder trajectory,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed42/independent decoder timing,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z8_seed42/timing withheld,True,max_abs_error=0.0; atol=0; rtol=0
conditional_ae\fold0\conditional_ae_z8_seed42/variational sampling behaviour,True,
