model_family,latent_dim,fold,seed,subject,n_context,n_query,n_generated,feature_reproduction_error,geometry,energy,mmd2,mmd2_biased_diagnostic,mean_path_rmse,all_pairs_mse_diagnostic,recorded_dispersion,generated_dispersion,dispersion_ratio
condition_ridge,0,3,42,subject40,87,90,120,8.326672684688674e-17,raw_rms,0.0973801824392981,0.0338147709058013,0.045330005493698,0.359270041631303,2.693183444537531,1.1950279657372869,1.3939750633559782,1.1664790308869035
condition_ridge,0,3,42,subject40,87,90,120,8.326672684688674e-17,axis_balanced,0.1165950304599414,0.0522076360528808,0.0634606638070286,0.3614306106637276,2.33267950991412,0.999503741096462,1.2238480130583498,1.224455660081653
condition_ridge,0,0,43,subject05,90,90,120,5.551115123125783e-17,raw_rms,0.4143704736565807,0.1875839437131441,0.1957706327915862,0.7437499844398356,2.084573730372565,0.2455483451079607,1.2994181454010008,5.2919034939114855
condition_ridge,0,0,43,subject05,90,90,120,5.551115123125783e-17,axis_balanced,0.4386196682143566,0.2585114583895801,0.2662406379286816,0.6504332336056421,1.5637343519971183,0.2000893401137501,0.9507275651040294,4.751515320923862
condition_ridge,0,0,43,subject13,90,90,120,5.551115123125783e-17,raw_rms,0.3206197289031534,0.134572276242757,0.1430412392837605,0.6608950322245073,2.038129389958176,0.5750148228914392,1.041399707934844,1.8110832390340947
condition_ridge,0,0,43,subject13,90,90,120,5.551115123125783e-17,axis_balanced,0.2134902852553588,0.1156212328053518,0.1234561564230078,0.449505812588614,1.3413382050232168,0.3405845798649649,0.8092259724876424,2.3759912231155167
condition_ridge,0,0,43,subject19,88,90,120,8.326672684688674e-17,raw_rms,0.4898081703152355,0.2134183246530697,0.2216884874944719,0.8302330905485844,2.095268764952645,0.479171776175523,0.9399671949394918,1.961649749995244
condition_ridge,0,0,43,subject19,88,90,120,8.326672684688674e-17,axis_balanced,0.3095382321907305,0.1672850764994697,0.1747414351174716,0.571371349854329,1.299346438706478,0.3048617399402978,0.6770489062162948,2.220839211732124
condition_ridge,0,0,43,subject24,88,90,120,8.326672684688674e-17,raw_rms,0.0485799991710775,0.0303887262585558,0.039939377633591,0.0884434473315438,1.695840842654187,0.6527640463348907,1.05126805390747,1.610487066207278
condition_ridge,0,0,43,subject24,88,90,120,8.326672684688674e-17,axis_balanced,0.034428741744662,0.014490473093666,0.0242247862031965,0.1158485729706323,1.4012018412661924,0.6008917142698702,0.8002344299899048,1.3317448235448734
condition_ridge,0,0,43,subject27,87,90,120,9.020562075079396e-17,raw_rms,0.1941730061121376,0.1300681465010735,0.1392599647561774,0.3488602509134753,2.039971408983565,0.6439936517249081,1.292198084985287,2.006538545099307
condition_ridge,0,0,43,subject27,87,90,120,9.020562075079396e-17,axis_balanced,0.1565659869211841,0.1036213939956967,0.1125737787217022,0.300725831354639,1.5626946010672464,0.4474271354747183,1.0384566580487145,2.3209514482104807
condition_ridge,0,0,43,subject34,90,90,120,9.020562075079396e-17,raw_rms,0.1584165920358091,0.0508072957002179,0.0611470325183404,0.5263858280267639,3.038726191929864,0.8647568818662528,1.9225166520148265,2.22318745572258
condition_ridge,0,0,43,subject34,90,90,120,9.020562075079396e-17,axis_balanced,0.1258050441214344,0.0557055690013609,0.0652370074250752,0.3691033338550151,1.853773382457256,0.543099275726661,1.1903911987206768,2.191848253025096
condition_ridge,0,0,43,subject35,85,86,120,8.326672684688674e-17,raw_rms,0.1217079606329734,0.0744453074621716,0.0861932593506304,0.264529522922562,2.4227224466501647,0.8815464293616184,1.4938998541181907,1.6946354773395371
condition_ridge,0,0,43,subject35,85,86,120,8.326672684688674e-17,axis_balanced,0.1840682361851415,0.0942152848863562,0.1052248007165677,0.4323437730701177,1.8941160922181344,0.5898240134266413,1.133676664981273,1.92205918913858
condition_ridge,0,1,43,subject08,89,90,120,5.551115123125783e-17,raw_rms,0.5716947236999466,0.3110571386473553,0.3228238626964659,0.8018006134812671,1.9297588182730236,0.5973954376251124,0.7019666056675948,1.175045140046926
condition_ridge,0,1,43,subject08,89,90,120,5.551115123125783e-17,axis_balanced,0.8924856082580677,0.3628354903643037,0.3759793252495032,1.154794332000404,3.5749191357566827,1.4715404849726217,0.7927856988875602,0.5387454215385111
condition_ridge,0,1,43,subject18,88,90,120,8.847089727481715e-17,raw_rms,0.1383522826441319,0.0819239055212671,0.0931317640419073,0.3481753184039376,2.603735991867975,1.4401307269673116,1.067274620245552,0.741095652123932
condition_ridge,0,1,43,subject18,88,90,120,8.847089727481715e-17,axis_balanced,0.286257491396239,0.1413628051003178,0.1524006104044252,0.5833190339676881,2.747549012058956,1.2853000539149289,1.1458174532422143,0.891478569344286
condition_ridge,0,1,43,subject23,90,90,120,9.714451465470121e-17,raw_rms,0.315585653177556,0.1666941644656555,0.1758798970249023,0.6181427105586147,1.7003798475113878,0.2356683002136246,1.094349250437027,4.643599709613214
condition_ridge,0,1,43,subject23,90,90,120,9.714451465470121e-17,axis_balanced,0.2924993309439119,0.162903698600195,0.1722801419574868,0.5602170127382324,1.64966080648591,0.3307994204602921,1.0171702525517592,3.0748852314687065
condition_ridge,0,1,43,subject25,88,90,120,5.551115123125783e-17,raw_rms,0.7565625123706112,0.2149663039551633,0.2286527854483735,1.16224615634673,4.150665900432919,1.6061325253211065,1.2217443671768855,0.7606746939718614
condition_ridge,0,1,43,subject25,88,90,120,5.551115123125783e-17,axis_balanced,0.5634010843128985,0.1964040818185365,0.2100535206302255,0.9499683151129282,3.581614853989713,1.5721578624455026,1.133935071448289,0.721260312679062
condition_ridge,0,1,43,subject26,89,90,120,8.326672684688674e-17,raw_rms,0.1618715698884076,0.0522962188712851,0.0649320845369125,0.5067998106892585,2.122941426674175,1.1825538414212335,0.7025354866539589,0.5940832984057858
condition_ridge,0,1,43,subject26,89,90,120,8.326672684688674e-17,axis_balanced,0.1558856820653882,0.0745958210001035,0.0880848450563904,0.4080810498411228,2.7953056281900186,1.8621554077772864,0.7939267490574144,0.4263482767021387
