geometry,latent_dim,metric,model_a,model_b,n,mean_a,mean_b,mean_b_minus_a,a_better_n,p,q_bh_80,p_holm_80
raw_rms,8,mmd2,spline_pca,unconditional_vae,28,0.07046444694480816,0.023808035726147266,-0.0466564112186609,2,5.21540641784668e-08,8.344650268554688e-07,4.06801700592041e-06
raw_rms,8,mmd2,spline_pca,condition_ridge,28,0.07046444694480816,0.10901004375576753,0.03854559681095937,19,0.028050199151039124,0.04007171307291303,0.7012549787759781
raw_rms,8,mmd2,cvae,conditional_ae,28,0.02441897626638523,0.06519906550810022,0.040780089241714994,25,3.203749656677246e-07,1.971538250262921e-06,2.2105872631072998e-05
raw_rms,8,mmd2,cvae,unconditional_vae,28,0.02441897626638523,0.023808035726147266,-0.0006109405402379616,13,1.0,1.0,1.0
raw_rms,8,mmd2,cvae,condition_ridge,28,0.02441897626638523,0.10901004375576753,0.08459106748938232,26,1.5422701835632324e-06,5.608255212957209e-06,9.253621101379395e-05
raw_rms,8,mmd2,conditional_ae,unconditional_vae,28,0.06519906550810022,0.023808035726147266,-0.041391029781952964,3,8.195638656616211e-07,3.642506069607205e-06,5.163252353668213e-05
raw_rms,8,mmd2,conditional_ae,condition_ridge,28,0.06519906550810022,0.10901004375576753,0.04381097824766729,17,0.03170907497406006,0.04450396487587376,0.7610177993774414
raw_rms,8,mmd2,unconditional_vae,condition_ridge,28,0.023808035726147266,0.10901004375576753,0.08520200802962026,25,2.4586915969848633e-07,1.7881393432617188e-06,1.7210841178894043e-05
axis_balanced,3,energy,spline_pca,cvae,28,0.12300580756019673,0.11090015200462179,-0.012105655555574928,11,0.33856552094221115,0.3869320239339556,1.0
axis_balanced,3,energy,spline_pca,conditional_ae,28,0.12300580756019673,0.1276760770251048,0.004670269464908061,17,0.22697687149047852,0.26703161351821003,1.0
axis_balanced,3,energy,spline_pca,unconditional_vae,28,0.12300580756019673,0.10917522717511847,-0.013830580385078272,10,0.17823376506567,0.2193646339269785,1.0
axis_balanced,3,energy,spline_pca,condition_ridge,28,0.12300580756019673,0.24876983325607133,0.12576402569587455,25,5.21540641784668e-07,2.781550089518229e-06,3.4421682357788086e-05
axis_balanced,3,energy,cvae,conditional_ae,28,0.11090015200462179,0.1276760770251048,0.01677592502048299,22,0.0009657368063926697,0.0015767131532941547,0.03090357780456543
axis_balanced,3,energy,cvae,unconditional_vae,28,0.11090015200462179,0.10917522717511847,-0.001724924829503342,12,0.6295278295874596,0.6805706265810374,1.0
axis_balanced,3,energy,cvae,condition_ridge,28,0.11090015200462179,0.24876983325607133,0.13786968125144947,24,6.556510925292969e-07,3.0854169060202206e-06,4.26173210144043e-05
axis_balanced,3,energy,conditional_ae,unconditional_vae,28,0.1276760770251048,0.10917522717511847,-0.018500849849986335,6,0.0003418475389480591,0.0005945174590401027,0.011964663863182068
axis_balanced,3,energy,conditional_ae,condition_ridge,28,0.1276760770251048,0.24876983325607133,0.12109375623096649,24,1.2949109077453613e-05,3.45309575398763e-05,0.0006604045629501343
axis_balanced,3,energy,unconditional_vae,condition_ridge,28,0.10917522717511847,0.24876983325607133,0.1395946060809528,25,1.0207295417785645e-06,4.297808596962377e-06,6.3285231590271e-05
axis_balanced,3,mmd2,spline_pca,cvae,28,0.07304140963760311,0.061025246979343264,-0.012016162658259843,12,0.11451615393161774,0.14776277926660353,1.0
axis_balanced,3,mmd2,spline_pca,conditional_ae,28,0.07304140963760311,0.07862209308864491,0.005580683451041813,19,0.1935620754957199,0.23462069757056958,1.0
axis_balanced,3,mmd2,spline_pca,unconditional_vae,28,0.07304140963760311,0.0608032919451497,-0.012238117692453416,9,0.0451183095574379,0.062232151113707446,1.0
axis_balanced,3,mmd2,spline_pca,condition_ridge,28,0.07304140963760311,0.11598824402904931,0.04294683439144621,21,0.0003814026713371277,0.0006491960363185152,0.012967690825462341
axis_balanced,3,mmd2,cvae,conditional_ae,28,0.061025246979343264,0.07862209308864491,0.017596846109301657,26,1.8849968910217285e-06,6.556510925292969e-06,0.00010932981967926025
axis_balanced,3,mmd2,cvae,unconditional_vae,28,0.061025246979343264,0.0608032919451497,-0.00022195503419357023,13,0.973184622824192,0.9855034155181692,1.0
axis_balanced,3,mmd2,cvae,condition_ridge,28,0.061025246979343264,0.11598824402904931,0.054962997049706065,23,6.318092346191406e-05,0.00012034461611793155,0.0025904178619384766
axis_balanced,3,mmd2,conditional_ae,unconditional_vae,28,0.07862209308864491,0.0608032919451497,-0.01781880114349523,6,2.380460500717163e-05,5.289912223815918e-05,0.0011188164353370667
axis_balanced,3,mmd2,conditional_ae,condition_ridge,28,0.07862209308864491,0.11598824402904931,0.0373661509404044,17,0.006060026586055756,0.008977817164527046,0.1636207178235054
axis_balanced,3,mmd2,unconditional_vae,condition_ridge,28,0.0608032919451497,0.11598824402904931,0.05518495208389961,22,0.0001353248953819275,0.0002405775917900933,0.005007021129131317
axis_balanced,8,energy,spline_pca,cvae,28,0.09116703582478507,0.05943498316316459,-0.031732052661620484,5,6.318092346191406e-05,0.00012034461611793155,0.0025904178619384766
axis_balanced,8,energy,spline_pca,conditional_ae,28,0.09116703582478507,0.08656175708674531,-0.004605278738039768,15,0.5369088649749756,0.5965654055277507,1.0
